TIPO_DE_CARREGAMENTO_ENTRADA,ARQUITETURA_ANSATZ,OTIMIZADOR,BASE_DE_DADOS,SAMPLE,METRICA_NAO_SUPERVISIONADA,INDICE_DIVISAO_BASE_DE_DADOS,ACURACIA_TREINAMENTO,ACURACIA_TESTE
True,0,AdamOptimizer,circles_50samples_high_noise,11,MSE,0.7,0.5857142857142857,0.4666666666666667
True,0,AdamOptimizer,circles_50samples_high_noise,12,MSE,0.7,0.6142857142857143,0.4
True,0,AdamOptimizer,circles_50samples_high_noise,13,MSE,0.7,0.5428571428571428,0.3333333333333333
True,0,AdamOptimizer,circles_50samples_high_noise,14,MSE,0.7,0.5571428571428572,0.4
True,0,AdamOptimizer,circles_50samples_high_noise,15,MSE,0.7,0.5571428571428572,0.5333333333333333
True,0,AdamOptimizer,circles_50samples_high_noise,16,MSE,0.7,0.5714285714285714,0.4666666666666667
True,0,AdamOptimizer,circles_50samples_high_noise,17,MSE,0.7,0.5,0.5
True,0,AdamOptimizer,circles_50samples_high_noise,18,MSE,0.7,0.5571428571428572,0.43333333333333335
True,0,AdamOptimizer,circles_50samples_high_noise,19,MSE,0.7,0.5857142857142857,0.4666666666666667
True,0,AdamOptimizer,circles_50samples_high_noise,20,MSE,0.7,0.5,0.5
True,0,AdamOptimizer,circles_50samples_high_noise,21,MSE,0.7,0.6142857142857143,0.4
True,0,AdamOptimizer,circles_50samples_high_noise,22,MSE,0.7,0.45714285714285713,0.4
True,0,AdamOptimizer,circles_50samples_high_noise,23,MSE,0.7,0.5428571428571428,0.4
True,0,AdamOptimizer,circles_50samples_high_noise,24,MSE,0.7,0.5714285714285714,0.5333333333333333
True,0,AdamOptimizer,circles_50samples_high_noise,25,MSE,0.7,0.5428571428571428,0.36666666666666664
True,0,AdamOptimizer,circles_50samples_high_noise,26,MSE,0.7,0.5428571428571428,0.4
True,0,AdamOptimizer,circles_50samples_high_noise,27,MSE,0.7,0.5428571428571428,0.5
True,0,AdamOptimizer,circles_50samples_high_noise,28,MSE,0.7,0.5857142857142857,0.5
True,0,AdamOptimizer,circles_50samples_high_noise,29,MSE,0.7,0.5285714285714286,0.4666666666666667
True,0,AdamOptimizer,circles_50samples_low_noise,0,MSE,0.7,0.4857142857142857,0.5333333333333333
True,0,AdamOptimizer,circles_50samples_low_noise,1,MSE,0.7,0.5,0.5
True,0,AdamOptimizer,circles_50samples_low_noise,2,MSE,0.7,0.5428571428571428,0.43333333333333335
True,0,AdamOptimizer,circles_50samples_low_noise,3,MSE,0.7,0.5857142857142857,0.36666666666666664
True,0,AdamOptimizer,circles_50samples_low_noise,4,MSE,0.7,0.5,0.4666666666666667
True,0,AdamOptimizer,circles_50samples_low_noise,5,MSE,0.7,0.5142857142857142,0.43333333333333335
True,0,AdamOptimizer,circles_50samples_low_noise,6,MSE,0.7,0.5428571428571428,0.5
True,0,AdamOptimizer,circles_50samples_low_noise,7,MSE,0.7,0.5285714285714286,0.4
True,0,AdamOptimizer,circles_50samples_low_noise,8,MSE,0.7,0.5857142857142857,0.26666666666666666
True,0,AdamOptimizer,circles_50samples_low_noise,9,MSE,0.7,0.5142857142857142,0.43333333333333335
True,0,AdamOptimizer,circles_50samples_low_noise,10,MSE,0.7,0.6,0.36666666666666664
True,0,AdamOptimizer,circles_50samples_low_noise,11,MSE,0.7,0.5571428571428572,0.3333333333333333
